series_id,season_number,episode_number,episode_part,episode_title,air_date,runtime_min,episode_rating_imdb,viewership_pct,writer,director
KDR-000434,1,1,,Ep 1: Echoes,2016-09-26,63,6.2,9.0,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,2,,Ep 2: Confession,2016-10-04,53,6.5,7.6,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,3,A,Ep 3: Promise,2016-10-03,60,7.0,5.4,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,4,,Ep 4: Afterglow,2016-10-11,70,7.3,13.2,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,5,,Ep 5: Afterglow,2016-10-10,60,6.5,11.0,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,6,,Ep 6: Goodbye,2016-10-18,65,6.5,6.5,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,7,A,Ep 7: Crossroads,2016-10-17,56,6.8,10.2,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,8,,Ep 8: Confession,2016-10-25,61,6.8,3.8,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,9,,Ep 9: Confession,2016-10-24,51,6.6,13.0,Kim Yoon-seo,Kim Min-jae
KDR-000434,1,10,B,Ep 10: Confession,2016-11-01,61,6.1,7.4,Kim Yoon-seo,Kim Min-jae
KDR-000577,1,1,,Ep 1: Afterglow,2024-03-18,61,8.1,7.7,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,2,,Ep 2: Goodbye,2024-03-26,63,7.5,5.3,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,3,,Ep 3: Echoes,2024-03-25,59,7.3,1.9,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,4,A,Ep 4: First Snow,2024-04-02,69,8.1,6.4,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,5,B,Ep 5: Confession,2024-04-01,69,8.1,9.1,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,6,B,Ep 6: Collision,2024-04-09,80,7.3,2.2,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,7,A,Ep 7: Afterglow,2024-04-08,76,7.1,3.0,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,8,,Ep 8: Crossroads,2024-04-16,62,7.0,3.0,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,9,,Ep 9: Crossroads,2024-04-15,71,8.1,12.2,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,10,,Ep 10: Afterglow,2024-04-23,70,7.5,0.9,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,11,,Ep 11: Collision,2024-04-22,67,7.4,9.0,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,12,,Ep 12: Confession,2024-04-30,59,6.7,9.2,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,13,A,Ep 13: Echoes,2024-04-29,65,7.6,8.9,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,14,B,Ep 14: Goodbye,2024-05-07,79,7.6,0.2,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,15,,Ep 15: Confession,2024-05-06,74,7.8,6.7,Lee Hye-jin,Lee Seo-jun
KDR-000577,1,16,,Ep 16: First Snow,2024-05-14,63,7.7,10.1,Lee Hye-jin,Lee Seo-jun
KDR-001212,1,1,A,Ep 1: Collision,2023-04-06,64,8.5,5.5,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,2,,Ep 2: Crossroads,2023-04-14,66,8.7,11.5,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,3,,Ep 3: Promise,2023-04-13,77,8.6,11.9,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,4,A,Ep 4: Afterglow,2023-04-21,68,8.3,4.5,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,5,,Ep 5: Crossroads,2023-04-20,65,8.2,9.0,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,6,B,Ep 6: First Snow,2023-04-28,70,8.4,8.5,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,7,A,Ep 7: Promise,2023-04-27,68,9.2,12.9,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,8,,Ep 8: First Snow,2023-05-05,65,8.5,7.1,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,9,B,Ep 9: Echoes,2023-05-04,68,8.9,13.2,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,10,A,Ep 10: Echoes,2023-05-12,77,8.4,14.0,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,11,,Ep 11: Promise,2023-05-11,68,9.0,7.9,Kang Yoon-seo,Lee Min-jae
KDR-001212,1,12,,Ep 12: Echoes,2023-05-19,69,9.1,10.1,Kang Yoon-seo,Lee Min-jae
KDR-000430,1,1,A,Ep 1: Afterglow,2021-02-26,66,7.2,9.4,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,2,,Ep 2: First Snow,2021-03-06,50,7.7,11.7,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,3,A,Ep 3: Promise,2021-03-05,54,7.3,6.0,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,4,B,Ep 4: Echoes,2021-03-13,49,7.2,8.7,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,5,B,Ep 5: Echoes,2021-03-12,58,7.5,10.4,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,6,B,Ep 6: First Snow,2021-03-20,63,7.5,9.3,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,7,B,Ep 7: First Snow,2021-03-19,60,7.4,14.3,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,8,,Ep 8: Goodbye,2021-03-27,69,7.8,4.6,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,9,,Ep 9: Echoes,2021-03-26,61,6.4,5.2,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,10,,Ep 10: Echoes,2021-04-03,69,7.1,3.8,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,11,B,Ep 11: Collision,2021-04-02,60,7.6,8.0,Kang Hye-jin,Kang Hyun-woo
KDR-000430,1,12,B,Ep 12: Promise,2021-04-10,58,7.8,2.6,Kang Hye-jin,Kang Hyun-woo
KDR-000612,1,1,B,Ep 1: Afterglow,2021-06-20,54,7.6,8.6,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,2,,Ep 2: Afterglow,2021-06-28,67,7.3,7.0,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,3,A,Ep 3: First Snow,2021-06-27,58,7.1,1.3,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,4,B,Ep 4: Echoes,2021-07-05,53,7.5,3.8,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,5,,Ep 5: First Snow,2021-07-04,58,8.0,13.4,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,6,B,Ep 6: Echoes,2021-07-12,48,7.0,8.2,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,7,A,Ep 7: Afterglow,2021-07-11,63,7.8,8.4,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,8,A,Ep 8: First Snow,2021-07-19,61,7.3,10.5,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,9,,Ep 9: Collision,2021-07-18,44,7.1,3.7,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,10,,Ep 10: Confession,2021-07-26,57,8.1,4.3,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,11,B,Ep 11: Promise,2021-07-25,58,7.3,12.3,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,12,,Ep 12: Afterglow,2021-08-02,69,7.6,3.6,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,13,B,Ep 13: Promise,2021-08-01,52,8.0,9.3,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,14,,Ep 14: Collision,2021-08-09,50,7.5,4.7,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,15,,Ep 15: Goodbye,2021-08-08,58,7.9,3.0,Choi Ji-eun,Choi Hyun-woo
KDR-000612,1,16,B,Ep 16: Confession,2021-08-16,60,7.5,12.3,Choi Ji-eun,Choi Hyun-woo
KDR-000531,1,1,A,Ep 1: Confession,2025-02-12,48,8.1,6.1,Park Seo-jun,Choi Ji-eun
KDR-000531,1,2,,Ep 2: Confession,2025-02-20,46,7.7,6.2,Park Seo-jun,Choi Ji-eun
KDR-000531,1,3,B,Ep 3: Crossroads,2025-02-19,61,6.9,10.7,Park Seo-jun,Choi Ji-eun
KDR-000531,1,4,,Ep 4: Promise,2025-02-27,67,7.5,7.2,Park Seo-jun,Choi Ji-eun
KDR-000531,1,5,A,Ep 5: Echoes,2025-02-26,54,7.1,7.0,Park Seo-jun,Choi Ji-eun
KDR-000531,1,6,,Ep 6: Crossroads,2025-03-06,53,7.0,12.4,Park Seo-jun,Choi Ji-eun
KDR-000531,1,7,B,Ep 7: Afterglow,2025-03-05,40,7.6,9.7,Park Seo-jun,Choi Ji-eun
KDR-000531,1,8,,Ep 8: Collision,2025-03-13,59,7.2,13.8,Park Seo-jun,Choi Ji-eun
KDR-000531,1,9,B,Ep 9: Goodbye,2025-03-12,56,8.0,9.6,Park Seo-jun,Choi Ji-eun
KDR-000531,1,10,A,Ep 10: Afterglow,2025-03-20,61,6.9,4.8,Park Seo-jun,Choi Ji-eun
KDR-000531,1,11,A,Ep 11: Afterglow,2025-03-19,53,7.9,2.2,Park Seo-jun,Choi Ji-eun
KDR-000531,1,12,,Ep 12: Echoes,2025-03-27,52,7.1,6.6,Park Seo-jun,Choi Ji-eun
KDR-000813,1,1,,Ep 1: Collision,2023-05-15,79,6.9,8.8,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,2,A,Ep 2: Collision,2023-05-23,73,7.3,7.5,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,3,,Ep 3: Collision,2023-05-22,77,7.3,6.9,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,4,B,Ep 4: Crossroads,2023-05-30,72,7.3,11.8,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,5,,Ep 5: Afterglow,2023-05-29,70,7.2,5.5,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,6,A,Ep 6: First Snow,2023-06-06,63,7.1,10.1,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,7,,Ep 7: Confession,2023-06-05,73,6.8,6.0,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,8,,Ep 8: First Snow,2023-06-13,64,7.0,11.7,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,9,,Ep 9: Afterglow,2023-06-12,68,7.1,1.5,Kang Yoon-seo,Park Yoon-seo
KDR-000813,1,10,,Ep 10: Promise,2023-06-20,49,7.0,12.6,Kang Yoon-seo,Park Yoon-seo
KDR-001451,1,1,,Ep 1: Confession,2025-01-20,55,6.2,2.8,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,2,A,Ep 2: Afterglow,2025-01-28,58,6.8,7.1,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,3,,Ep 3: Crossroads,2025-01-27,62,5.8,10.1,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,4,,Ep 4: Afterglow,2025-02-04,49,6.2,3.8,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,5,,Ep 5: Crossroads,2025-02-03,42,6.3,0.6,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,6,A,Ep 6: Collision,2025-02-11,51,6.5,9.6,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,7,B,Ep 7: Crossroads,2025-02-10,63,6.0,1.4,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,8,,Ep 8: Confession,2025-02-18,56,6.2,6.8,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,9,B,Ep 9: Goodbye,2025-02-17,59,7.1,11.6,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,10,B,Ep 10: Crossroads,2025-02-25,52,6.7,7.8,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,11,,Ep 11: Afterglow,2025-02-24,55,6.4,11.4,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,12,B,Ep 12: First Snow,2025-03-04,57,6.9,0.2,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,13,B,Ep 13: Promise,2025-03-03,64,7.0,7.7,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,14,,Ep 14: Promise,2025-03-11,45,6.0,6.6,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,15,,Ep 15: Echoes,2025-03-10,56,6.1,9.6,Choi Seo-yeon,Kim Seo-jun
KDR-001451,1,16,,Ep 16: Confession,2025-03-18,49,7.6,5.7,Choi Seo-yeon,Kim Seo-jun
KDR-000652,1,1,,Ep 1: Goodbye,2025-03-10,54,8.1,8.2,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,2,A,Ep 2: Collision,2025-03-18,56,7.5,7.0,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,3,,Ep 3: Collision,2025-03-17,50,8.1,13.5,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,4,,Ep 4: Promise,2025-03-25,52,8.0,3.1,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,5,B,Ep 5: First Snow,2025-03-24,55,8.4,5.5,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,6,B,Ep 6: Promise,2025-04-01,51,8.3,7.2,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,7,B,Ep 7: Collision,2025-03-31,56,7.9,11.7,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,8,,Ep 8: First Snow,2025-04-08,52,8.1,9.4,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,9,B,Ep 9: Echoes,2025-04-07,62,8.0,9.2,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,10,,Ep 10: First Snow,2025-04-15,57,7.6,10.1,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,11,,Ep 11: Promise,2025-04-14,54,8.5,6.6,Kang Hyun-woo,Choi Seo-yeon
KDR-000652,1,12,,Ep 12: Afterglow,2025-04-22,52,7.5,11.5,Kang Hyun-woo,Choi Seo-yeon
KDR-000562,1,1,B,Ep 1: Afterglow,2020-11-03,54,7.4,11.5,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,2,,Ep 2: Echoes,2020-11-11,61,7.5,0.7,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,3,A,Ep 3: Afterglow,2020-11-10,55,6.9,7.4,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,4,A,Ep 4: Crossroads,2020-11-18,58,7.9,0.2,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,5,B,Ep 5: Collision,2020-11-17,56,7.4,11.3,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,6,A,Ep 6: Confession,2020-11-25,48,7.3,6.0,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,7,A,Ep 7: Crossroads,2020-11-24,58,7.7,6.7,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,8,,Ep 8: Afterglow,2020-12-02,57,6.7,12.8,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,9,,Ep 9: Goodbye,2020-12-01,52,7.8,10.2,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,10,B,Ep 10: First Snow,2020-12-09,51,7.5,6.9,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,11,,Ep 11: First Snow,2020-12-08,55,7.2,5.9,Kim Hyun-woo,Lee Min-jae
KDR-000562,1,12,,Ep 12: Goodbye,2020-12-16,48,8.1,6.5,Kim Hyun-woo,Lee Min-jae
KDR-001474,1,1,,Ep 1: Afterglow,2021-01-13,49,7.2,11.2,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,2,,Ep 2: Crossroads,2021-01-21,56,6.4,16.1,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,3,B,Ep 3: Afterglow,2021-01-20,65,5.9,7.7,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,4,A,Ep 4: Goodbye,2021-01-28,57,6.2,14.5,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,5,B,Ep 5: Confession,2021-01-27,58,6.1,4.4,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,6,,Ep 6: Afterglow,2021-02-04,57,6.6,7.3,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,7,B,Ep 7: Promise,2021-02-03,62,6.1,3.8,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,8,A,Ep 8: Afterglow,2021-02-11,55,6.3,16.1,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,9,,Ep 9: Echoes,2021-02-10,52,7.3,9.5,Lee Seo-jun,Kang Hye-jin
KDR-001474,1,10,,Ep 10: Goodbye,2021-02-18,51,6.4,6.9,Lee Seo-jun,Kang Hye-jin
KDR-000711,1,1,,Ep 1: Collision,2020-06-15,59,7.4,15.7,Park Hye-jin,Park Hye-jin
KDR-000711,1,2,,Ep 2: First Snow,2020-06-23,45,8.1,8.6,Park Hye-jin,Park Hye-jin
KDR-000711,1,3,,Ep 3: Confession,2020-06-22,42,8.3,5.9,Park Hye-jin,Park Hye-jin
KDR-000711,1,4,,Ep 4: Confession,2020-06-30,52,8.0,9.8,Park Hye-jin,Park Hye-jin
KDR-000711,1,5,A,Ep 5: Collision,2020-06-29,59,8.0,9.6,Park Hye-jin,Park Hye-jin
KDR-000711,1,6,,Ep 6: Promise,2020-07-07,63,8.0,6.2,Park Hye-jin,Park Hye-jin
KDR-000711,1,7,,Ep 7: Afterglow,2020-07-06,62,7.8,6.2,Park Hye-jin,Park Hye-jin
KDR-000711,1,8,,Ep 8: Afterglow,2020-07-14,51,8.7,4.9,Park Hye-jin,Park Hye-jin
KDR-000711,1,9,,Ep 9: Collision,2020-07-13,58,8.2,14.7,Park Hye-jin,Park Hye-jin
KDR-000711,1,10,,Ep 10: Goodbye,2020-07-21,56,8.0,7.2,Park Hye-jin,Park Hye-jin
KDR-000711,1,11,B,Ep 11: Goodbye,2020-07-20,55,7.6,11.4,Park Hye-jin,Park Hye-jin
KDR-000711,1,12,,Ep 12: Crossroads,2020-07-28,56,7.9,9.8,Park Hye-jin,Park Hye-jin
KDR-000711,1,13,,Ep 13: Confession,2020-07-27,54,8.2,10.1,Park Hye-jin,Park Hye-jin
KDR-000711,1,14,,Ep 14: Crossroads,2020-08-04,55,7.7,8.1,Park Hye-jin,Park Hye-jin
KDR-000711,1,15,,Ep 15: Promise,2020-08-03,58,7.3,7.7,Park Hye-jin,Park Hye-jin
KDR-000711,1,16,A,Ep 16: Promise,2020-08-11,53,8.1,10.3,Park Hye-jin,Park Hye-jin
KDR-001506,1,1,,Ep 1: Confession,2024-10-09,55,8.7,10.7,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,2,,Ep 2: Confession,2024-10-17,64,8.3,13.4,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,3,,Ep 3: Crossroads,2024-10-16,64,8.8,7.2,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,4,,Ep 4: Crossroads,2024-10-24,67,8.7,9.8,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,5,B,Ep 5: Collision,2024-10-23,55,7.9,10.2,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,6,B,Ep 6: Echoes,2024-10-31,73,7.8,12.0,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,7,,Ep 7: Goodbye,2024-10-30,44,8.1,12.5,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,8,B,Ep 8: Confession,2024-11-07,63,8.4,3.4,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,9,,Ep 9: First Snow,2024-11-06,56,8.3,10.0,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,10,A,Ep 10: Confession,2024-11-14,69,8.9,5.2,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,11,,Ep 11: Promise,2024-11-13,60,7.8,9.7,Kang Ji-hoon,Choi Yoon-seo
KDR-001506,1,12,,Ep 12: Promise,2024-11-21,49,7.9,11.5,Kang Ji-hoon,Choi Yoon-seo
KDR-000125,1,1,B,Ep 1: Echoes,2021-10-01,58,7.1,6.7,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,2,,Ep 2: Echoes,2021-10-09,61,7.0,2.9,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,3,B,Ep 3: First Snow,2021-10-08,65,7.8,5.0,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,4,,Ep 4: Crossroads,2021-10-16,64,7.7,13.1,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,5,,Ep 5: Crossroads,2021-10-15,49,7.3,5.5,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,6,,Ep 6: Confession,2021-10-23,67,7.3,9.0,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,7,A,Ep 7: Crossroads,2021-10-22,62,7.7,6.6,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,8,,Ep 8: Echoes,2021-10-30,60,7.6,11.7,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,9,B,Ep 9: Crossroads,2021-10-29,65,7.8,7.8,Kim Hye-jin,Jung Seo-jun
KDR-000125,1,10,,Ep 10: Echoes,2021-11-06,59,7.6,10.1,Kim Hye-jin,Jung Seo-jun
