series_id,person_id,person_name,role_type,character_name,episodes_appeared,agency,is_guest
KDR-001212,P104762,Lee Min-jae,Lead,Song Joon,12,KeyEast,False
KDR-001212,P519351,Jung Ji-hoon,Cameo,Ahn Taeyang,5,C-JeS,False
KDR-001212,P295504,Kang Min-jae,Support,Kim Hyejin,3,SM,False
KDR-001212,P199078,Lee Hye-jin,Lead,Choi Taeyang,4,KeyEast,False
KDR-001212,P241532,Park Hyun-woo,Support,Lee Taeyang,3,SM,False
KDR-001212,P596559,Lee Min-jae,Support,Kim Hana,9,P Nation,False
KDR-000430,P598075,Kim Min-jae,Guest,Han Joon,4,KeyEast,False
KDR-000430,P359919,Jang Hye-jin,Lead,Song Harin,5,JYP,False
KDR-000430,P817652,Cho Hye-jin,Support,Song Hana,9,SOOP,False
KDR-000430,P821472,Cho Hye-jin,Support,Kim Taeyang,5,P Nation,True
KDR-000430,P558570,Lee Min-jae,Cameo,Jung Jiwon,4,Cube,False
KDR-000612,P560512,Kang Hyun-woo,Cameo,Park Jiwon,16,Jellyfish,False
KDR-000612,P728306,Kim Min-jae,Lead,Kang Taeyang,8,Jellyfish,False
KDR-000612,P761558,Jung Seo-jun,Cameo,Ahn Harin,11,C-JeS,False
KDR-000612,P741732,Lee Min-jae,Support,Yoon Eunwoo,2,Cube,False
KDR-000612,P846568,Park Seo-jun,Support,Han Joon,12,JYP,False
KDR-000612,P353924,Cho Seo-yeon,Guest,Kang Minho,12,BH Ent.,False
KDR-000612,P812446,Cho Ji-eun,Support,Choi Hana,4,JYP,False
KDR-000531,P636700,Cho Seo-yeon,Lead,Choi Hyejin,1,P Nation,True
KDR-000531,P307345,Yoon Seo-yeon,Guest,Choi Jiwon,7,YG,False
KDR-000531,P667310,Yoon Seo-yeon,Guest,Han Hyejin,9,SM,False
KDR-000531,P361104,Park Ji-eun,Lead,Choi Jisoo,10,KeyEast,False
KDR-000531,P820218,Jung Hye-jin,Lead,Yoon Jiwon,7,KeyEast,True
KDR-000531,P462182,Choi Hyun-woo,Guest,Lee Jiwon,8,SM,False
KDR-000813,P629756,Lee Min-jae,Cameo,Lee Seojin,2,YG,False
KDR-000813,P225605,Kang Seo-yeon,Support,Park Minho,3,Jellyfish,False
KDR-000813,P713141,Jung Hye-jin,Guest,Lee Jiwon,9,SM,False
KDR-000813,P931108,Kang Yoon-seo,Guest,Yoon Jiwon,5,Cube,False
KDR-000813,P480016,Jung Hyun-woo,Support,Jung Hyejin,10,SOOP,False
KDR-001451,P760613,Jung Min-jae,Support,Park Hana,6,SM,True
KDR-001451,P667381,Jung Yoon-seo,Guest,Ahn Minho,11,Cube,False
KDR-001451,P809529,Im Ji-eun,Support,Kim Jiwon,5,BH Ent.,False
KDR-001451,P511196,Im Ji-eun,Guest,Kang Hyejin,12,KeyEast,True
KDR-001451,P577397,Kim Ji-eun,Lead,Kang Eunwoo,15,JYP,False
KDR-001451,P113371,Choi Ji-eun,Cameo,Song Minho,5,SOOP,False
KDR-001451,P173547,Choi Hyun-woo,Support,Kang Joon,7,YG,False
KDR-001451,P278822,Choi Ji-eun,Support,Jung Jiwon,9,BH Ent.,False
KDR-000652,P706829,Im Seo-yeon,Support,Kim Jiwon,8,SM,False
KDR-000652,P166616,Kim Hye-jin,Support,Lee Seojin,10,C-JeS,False
KDR-000652,P323559,Yoon Ji-eun,Guest,Han Hana,9,Jellyfish,False
KDR-000652,P461078,Kang Ji-hoon,Support,Yoon Minho,3,SM,False
KDR-000652,P488178,Cho Min-jae,Lead,Kang Harin,7,C-JeS,True
KDR-000562,P931545,Cho Seo-jun,Support,Kang Eunwoo,6,Jellyfish,True
KDR-000562,P899510,Park Hye-jin,Lead,Jung Jisoo,8,Cube,False
KDR-000562,P621297,Park Min-jae,Guest,Yoon Seojin,7,Cube,False
KDR-000562,P282890,Jung Ji-hoon,Lead,Kang Harin,11,SOOP,False
KDR-000562,P589944,Choi Hye-jin,Guest,Yoon Seojin,2,P Nation,False
KDR-001474,P100879,Jang Hye-jin,Support,Yoon Hyejin,4,KeyEast,False
KDR-001474,P574857,Yoon Seo-yeon,Support,Ahn Eunwoo,6,JYP,False
KDR-001474,P218799,Choi Ji-eun,Cameo,Kim Joon,2,Cube,True
KDR-001474,P926482,Cho Min-jae,Lead,Choi Jiwon,10,KeyEast,False
KDR-001474,P557158,Lee Hyun-woo,Guest,Kim Jisoo,6,YG,False
KDR-000711,P151341,Jung Ji-hoon,Support,Kim Hyejin,9,C-JeS,False
KDR-000711,P266761,Jang Min-jae,Support,Han Minho,9,SOOP,False
KDR-000711,P651289,Lee Hye-jin,Lead,Choi Joon,11,JYP,False
KDR-000711,P980564,Kang Ji-eun,Cameo,Song Minho,11,P Nation,False
KDR-000711,P726864,Jang Ji-eun,Guest,Han Joon,9,P Nation,False
KDR-000711,P773210,Im Ji-eun,Cameo,Kim Jiwon,11,SM,False
KDR-000711,P382072,Jung Ji-hoon,Lead,Yoon Hyejin,11,SM,False
KDR-001506,P878362,Cho Min-jae,Guest,Lee Taeyang,8,Jellyfish,False
KDR-001506,P182406,Lee Ji-hoon,Lead,Kim Hana,11,Cube,False
KDR-001506,P415257,Jung Seo-jun,Lead,Song Hyejin,9,BH Ent.,False
KDR-001506,P325527,Park Hyun-woo,Cameo,Kang Harin,6,SM,False
KDR-001506,P539640,Park Seo-yeon,Cameo,Jung Taeyang,8,Cube,True
KDR-001506,P941564,Jang Seo-yeon,Lead,Yoon Hana,5,BH Ent.,False
KDR-001506,P371044,Kang Min-jae,Support,Han Seojin,9,P Nation,False
KDR-000125,P519253,Park Seo-yeon,Lead,Ahn Hana,2,JYP,False
KDR-000125,P954005,Yoon Ji-eun,Support,Yoon Jiwon,4,SOOP,False
KDR-000125,P623612,Kang Seo-jun,Guest,Kang Hana,7,SM,False
KDR-000125,P812180,Kang Ji-eun,Guest,Kim Joon,6,C-JeS,False
KDR-000125,P974669,Im Ji-eun,Support,Kang Harin,10,KeyEast,True
KDR-000125,P648457,Park Ji-eun,Cameo,Yoon Hana,2,C-JeS,True
KDR-000125,P402796,Choi Ji-eun,Guest,Park Taeyang,9,P Nation,False
KDR-001771,P106226,Im Hye-jin,Cameo,Kang Hyejin,4,Cube,False
KDR-001771,P592329,Kim Yoon-seo,Guest,Han Harin,7,C-JeS,False
KDR-001771,P632713,Lee Hyun-woo,Support,Lee Seojin,11,JYP,False
KDR-001771,P360660,Kang Hyun-woo,Support,Kim Harin,9,Jellyfish,False
KDR-001771,P502376,Park Min-jae,Cameo,Kim Taeyang,13,SM,True
KDR-001771,P849242,Kim Hye-jin,Lead,Song Hana,12,P Nation,False
KDR-001771,P822970,Kim Min-jae,Lead,Lee Eunwoo,13,P Nation,False
KDR-000463,P515995,Lee Yoon-seo,Cameo,Choi Hana,10,JYP,False
KDR-000463,P344128,Yoon Yoon-seo,Support,Park Hyejin,16,KeyEast,False
KDR-000463,P318625,Jung Min-jae,Support,Song Eunwoo,6,KeyEast,False
KDR-000463,P486798,Kim Ji-eun,Support,Han Jisoo,14,P Nation,False
KDR-000463,P919593,Park Seo-yeon,Cameo,Park Hana,8,Jellyfish,False
KDR-000463,P921764,Cho Min-jae,Cameo,Park Joon,11,P Nation,False
KDR-000463,P780162,Im Seo-yeon,Lead,Kim Seojin,15,KeyEast,False
KDR-000463,P275708,Park Ji-eun,Cameo,Ahn Jisoo,3,JYP,False
KDR-001894,P161139,Yoon Seo-jun,Support,Lee Hana,6,YG,False
KDR-001894,P457551,Kang Min-jae,Cameo,Jung Harin,5,KeyEast,False
KDR-001894,P756946,Park Min-jae,Cameo,Lee Hana,9,YG,False
KDR-001894,P741495,Im Hye-jin,Guest,Choi Hyejin,4,KeyEast,False
KDR-001894,P237069,Jung Hyun-woo,Lead,Ahn Joon,4,Jellyfish,False
KDR-001118,P220619,Yoon Min-jae,Guest,Han Jiwon,13,KeyEast,False
KDR-001118,P992768,Im Seo-yeon,Lead,Song Jiwon,9,P Nation,False
KDR-001118,P234414,Park Seo-jun,Support,Jung Harin,10,JYP,True
KDR-001118,P861702,Jung Yoon-seo,Support,Kim Eunwoo,7,Jellyfish,False
KDR-001118,P297417,Choi Yoon-seo,Guest,Kang Jisoo,3,C-JeS,False
KDR-000999,P449958,Park Min-jae,Support,Choi Hyejin,2,BH Ent.,False
KDR-000999,P237487,Jung Min-jae,Guest,Choi Minho,1,JYP,False
KDR-000999,P116258,Kang Hyun-woo,Guest,Ahn Hana,6,JYP,False
KDR-000999,P283512,Yoon Ji-hoon,Cameo,Jung Joon,8,SM,True
KDR-000999,P585198,Park Yoon-seo,Guest,Ahn Harin,8,P Nation,True
KDR-000793,P223993,Kim Seo-yeon,Guest,Choi Harin,10,Jellyfish,False
KDR-000793,P691352,Im Seo-jun,Support,Jung Hana,11,KeyEast,True
KDR-000793,P644894,Park Seo-yeon,Cameo,Park Jiwon,4,YG,False
KDR-000793,P314337,Lee Seo-jun,Support,Yoon Hyejin,12,Jellyfish,False
KDR-000793,P349660,Jang Seo-jun,Support,Park Jisoo,10,BH Ent.,False
KDR-000793,P645455,Yoon Hyun-woo,Support,Kim Hana,7,KeyEast,False
KDR-000793,P632008,Kim Yoon-seo,Cameo,Lee Jisoo,7,Jellyfish,False
KDR-000793,P718136,Jang Hye-jin,Support,Lee Harin,4,JYP,False
KDR-001777,P804381,Lee Seo-yeon,Support,Ahn Seojin,7,BH Ent.,False
KDR-001777,P854520,Jang Hye-jin,Support,Yoon Hyejin,4,SM,False
KDR-001777,P608655,Kim Seo-jun,Lead,Yoon Eunwoo,1,SOOP,False
KDR-001777,P387118,Park Hyun-woo,Lead,Song Jiwon,1,P Nation,True
KDR-001777,P594544,Jang Ji-eun,Lead,Yoon Taeyang,2,SOOP,False
KDR-001777,P534247,Lee Ji-eun,Support,Kim Taeyang,2,SOOP,False
KDR-001777,P265379,Choi Seo-yeon,Support,Song Minho,12,C-JeS,False
KDR-001877,P671073,Choi Yoon-seo,Support,Park Jisoo,13,KeyEast,False
KDR-001877,P512502,Im Yoon-seo,Support,Lee Hyejin,4,Cube,True
KDR-001877,P935740,Choi Hyun-woo,Guest,Kang Eunwoo,8,JYP,True
KDR-001877,P872400,Kim Seo-jun,Lead,Yoon Eunwoo,8,Jellyfish,False
KDR-001877,P411304,Choi Yoon-seo,Lead,Kang Taeyang,15,SM,False
KDR-001877,P138575,Jung Hyun-woo,Support,Kim Minho,11,YG,False
KDR-001657,P943621,Choi Hyun-woo,Guest,Ahn Eunwoo,13,BH Ent.,False
KDR-001657,P418068,Jung Ji-eun,Support,Ahn Seojin,13,BH Ent.,False
KDR-001657,P429667,Choi Ji-eun,Lead,Jung Jiwon,6,SOOP,False
KDR-001657,P412079,Lee Seo-jun,Support,Jung Hyejin,5,SM,False
KDR-001657,P670006,Lee Min-jae,Support,Jung Taeyang,5,Jellyfish,False
KDR-001657,P805638,Park Seo-yeon,Support,Kim Jisoo,6,KeyEast,False
KDR-001657,P930192,Jang Hyun-woo,Guest,Lee Taeyang,8,KeyEast,False
KDR-000539,P334632,Kim Seo-jun,Lead,Song Jiwon,3,C-JeS,False
KDR-000539,P222227,Jung Seo-jun,Support,Lee Harin,4,YG,False
KDR-000539,P703526,Jang Yoon-seo,Cameo,Kim Jiwon,5,SM,True
KDR-000539,P176914,Yoon Ji-eun,Guest,Yoon Eunwoo,1,Jellyfish,False
KDR-000539,P732167,Cho Min-jae,Support,Ahn Minho,7,BH Ent.,False
KDR-000539,P637311,Yoon Hye-jin,Guest,Yoon Seojin,7,KeyEast,False
KDR-000544,P104055,Lee Hye-jin,Cameo,Ahn Eunwoo,13,BH Ent.,True
KDR-000544,P410163,Jang Seo-jun,Cameo,Kang Hana,12,SOOP,True
KDR-000544,P945585,Lee Ji-eun,Support,Song Eunwoo,12,BH Ent.,True
KDR-000544,P264776,Jung Hyun-woo,Guest,Lee Hana,10,Cube,False
KDR-000544,P337420,Kang Ji-eun,Support,Han Hana,8,P Nation,False
KDR-000544,P890056,Jung Seo-jun,Lead,Kang Taeyang,13,SOOP,False
KDR-000544,P970025,Kim Hyun-woo,Lead,Jung Jisoo,6,Jellyfish,False
KDR-001125,P678574,Im Ji-hoon,Support,Han Harin,2,JYP,False
KDR-001125,P300255,Jung Min-jae,Support,Han Harin,1,SOOP,False
KDR-001125,P299178,Im Yoon-seo,Support,Han Jiwon,10,Jellyfish,False
KDR-001125,P364152,Lee Yoon-seo,Support,Han Joon,4,P Nation,False
KDR-001125,P631238,Kang Hyun-woo,Lead,Kim Hyejin,7,SM,False
KDR-001125,P319106,Cho Ji-hoon,Guest,Kang Hana,4,C-JeS,False
KDR-001786,P874084,Lee Yoon-seo,Guest,Kang Hana,6,SM,False
KDR-001786,P445591,Kim Ji-hoon,Support,Park Hana,5,YG,False
KDR-001786,P982850,Kang Hyun-woo,Cameo,Lee Eunwoo,1,SM,False
KDR-001786,P667096,Im Yoon-seo,Guest,Song Eunwoo,8,YG,True
KDR-001786,P825375,Choi Hyun-woo,Support,Kang Jiwon,3,JYP,False
KDR-001786,P996255,Jung Hye-jin,Support,Park Jiwon,6,BH Ent.,True
KDR-001786,P118427,Jang Hyun-woo,Support,Kang Harin,1,KeyEast,False
KDR-001968,P998697,Kang Ji-eun,Support,Choi Harin,11,P Nation,True
KDR-001968,P338672,Park Min-jae,Support,Choi Hana,9,Jellyfish,False
KDR-001968,P684534,Yoon Hye-jin,Support,Kang Jiwon,12,C-JeS,False
KDR-001968,P119864,Park Ji-eun,Lead,Jung Seojin,11,JYP,True
KDR-001968,P880670,Kang Hyun-woo,Cameo,Choi Jiwon,11,Cube,False
KDR-000030,P855338,Kim Hyun-woo,Support,Kang Minho,6,JYP,False
KDR-000030,P286667,Choi Hyun-woo,Cameo,Choi Eunwoo,7,YG,True
KDR-000030,P311551,Park Ji-hoon,Support,Kang Hyejin,8,Cube,False
KDR-000030,P955908,Park Hye-jin,Cameo,Yoon Eunwoo,6,C-JeS,True
KDR-000030,P890043,Cho Hyun-woo,Lead,Choi Seojin,8,Cube,True
KDR-001068,P938659,Kim Yoon-seo,Cameo,Song Joon,12,Jellyfish,False
KDR-001068,P235717,Im Min-jae,Support,Lee Eunwoo,8,BH Ent.,True
KDR-001068,P340417,Choi Min-jae,Guest,Song Hyejin,4,C-JeS,True
KDR-001068,P964710,Jung Seo-yeon,Support,Yoon Taeyang,1,Cube,False
KDR-001068,P993587,Jung Hyun-woo,Support,Yoon Jisoo,2,KeyEast,True
KDR-001068,P416042,Im Yoon-seo,Cameo,Ahn Jiwon,7,BH Ent.,True
KDR-001448,P477003,Jang Hye-jin,Support,Yoon Jiwon,9,BH Ent.,False
KDR-001448,P559233,Kang Yoon-seo,Cameo,Kim Taeyang,1,KeyEast,False
KDR-001448,P198397,Yoon Ji-eun,Guest,Kim Joon,8,Jellyfish,False
KDR-001448,P190116,Kang Hye-jin,Cameo,Jung Minho,3,YG,False
KDR-001448,P183718,Kim Seo-jun,Support,Han Hana,6,C-JeS,False
KDR-000808,P349737,Kang Ji-hoon,Support,Yoon Eunwoo,8,C-JeS,False
KDR-000808,P580253,Jung Ji-eun,Lead,Yoon Hana,10,C-JeS,False
KDR-000808,P191792,Jung Seo-yeon,Support,Yoon Eunwoo,6,P Nation,False
KDR-000808,P368136,Choi Hye-jin,Support,Han Taeyang,7,BH Ent.,True
KDR-000808,P102700,Choi Seo-yeon,Lead,Ahn Seojin,9,JYP,False
KDR-000808,P986074,Jang Hye-jin,Guest,Kang Taeyang,10,SOOP,False
KDR-001320,P288995,Yoon Seo-jun,Lead,Ahn Joon,9,Jellyfish,False
KDR-001320,P742945,Kim Yoon-seo,Support,Kim Hyejin,1,BH Ent.,False
KDR-001320,P206779,Yoon Min-jae,Support,Lee Eunwoo,6,YG,False
KDR-001320,P724249,Jang Hyun-woo,Support,Lee Jiwon,6,KeyEast,False
KDR-001320,P423113,Yoon Ji-eun,Support,Jung Harin,3,YG,False
KDR-001320,P692325,Park Seo-yeon,Cameo,Jung Jisoo,10,BH Ent.,False
KDR-000057,P333371,Kang Hyun-woo,Guest,Yoon Joon,5,SM,False
KDR-000057,P656702,Kang Min-jae,Cameo,Kang Joon,3,SM,False
KDR-000057,P948611,Jung Ji-hoon,Guest,Ahn Taeyang,7,SM,False
KDR-000057,P944113,Yoon Seo-yeon,Support,Ahn Taeyang,7,Jellyfish,False
KDR-000057,P103934,Jang Hyun-woo,Cameo,Park Hyejin,1,Jellyfish,False
KDR-000057,P537896,Kim Hyun-woo,Cameo,Kang Jisoo,8,C-JeS,False
KDR-000057,P706872,Im Yoon-seo,Support,Han Joon,1,BH Ent.,True
KDR-000520,P693971,Park Ji-eun,Lead,Lee Eunwoo,2,BH Ent.,False
KDR-000520,P750401,Choi Seo-jun,Lead,Song Seojin,4,P Nation,True
KDR-000520,P243269,Im Yoon-seo,Lead,Lee Jiwon,6,SOOP,True
KDR-000520,P424353,Jang Seo-yeon,Cameo,Choi Taeyang,11,KeyEast,False
KDR-000520,P419923,Choi Seo-jun,Support,Kang Taeyang,9,KeyEast,False
KDR-000520,P927827,Lee Min-jae,Support,Kim Seojin,8,KeyEast,False
KDR-000520,P347353,Cho Hyun-woo,Guest,Park Jisoo,8,BH Ent.,False
KDR-000520,P262960,Lee Hye-jin,Lead,Song Taeyang,3,P Nation,False
KDR-000938,P687458,Park Seo-jun,Cameo,Lee Jiwon,8,Jellyfish,True
KDR-000938,P177685,Kang Ji-eun,Support,Jung Minho,7,KeyEast,False
KDR-000938,P587853,Lee Ji-hoon,Guest,Ahn Eunwoo,3,JYP,False
KDR-000938,P771265,Park Hyun-woo,Cameo,Lee Jiwon,2,C-JeS,False
KDR-000938,P125365,Yoon Yoon-seo,Support,Kim Seojin,3,SOOP,False
KDR-000938,P208995,Jung Seo-yeon,Support,Jung Taeyang,4,JYP,True
KDR-000938,P979068,Kang Min-jae,Support,Choi Joon,5,C-JeS,False
KDR-001365,P449414,Yoon Seo-jun,Support,Song Joon,6,BH Ent.,False
KDR-001365,P465392,Park Hye-jin,Guest,Park Harin,3,P Nation,False
KDR-001365,P940509,Park Ji-hoon,Support,Kang Jiwon,4,YG,False
KDR-001365,P302408,Choi Yoon-seo,Support,Park Jiwon,3,P Nation,True
KDR-001365,P564461,Park Seo-yeon,Lead,Park Hana,9,JYP,True
KDR-001365,P870245,Kang Hyun-woo,Lead,Choi Taeyang,4,SM,True
KDR-001365,P466151,Choi Yoon-seo,Cameo,Song Jiwon,4,SOOP,False
KDR-001365,P412959,Kim Min-jae,Guest,Lee Jiwon,6,Jellyfish,False
KDR-000252,P176291,Lee Ji-hoon,Lead,Kang Hana,6,JYP,False
KDR-000252,P574010,Yoon Min-jae,Guest,Ahn Jisoo,5,Cube,False
KDR-000252,P425315,Cho Hye-jin,Support,Ahn Minho,11,Jellyfish,False
KDR-000252,P684849,Im Ji-eun,Guest,Choi Minho,3,C-JeS,False
KDR-000252,P186498,Kang Yoon-seo,Support,Han Harin,6,Jellyfish,False
KDR-000252,P175574,Park Yoon-seo,Support,Jung Jisoo,5,Cube,True
KDR-000100,P902445,Park Seo-jun,Guest,Lee Eunwoo,9,YG,False
KDR-000100,P816034,Kim Ji-hoon,Support,Kim Seojin,12,Cube,False
KDR-000100,P370740,Choi Hyun-woo,Guest,Kang Joon,12,SM,False
KDR-000100,P287057,Im Seo-yeon,Cameo,Jung Hyejin,9,C-JeS,False
KDR-000100,P814726,Kang Ji-hoon,Cameo,Lee Taeyang,1,BH Ent.,False
KDR-000100,P837789,Cho Hyun-woo,Support,Yoon Eunwoo,6,C-JeS,True
KDR-000100,P502164,Im Seo-yeon,Support,Ahn Eunwoo,12,JYP,False
KDR-001511,P986231,Choi Min-jae,Support,Jung Minho,6,Jellyfish,False
KDR-001511,P157864,Jung Min-jae,Guest,Han Seojin,1,SOOP,True
KDR-001511,P656128,Cho Seo-jun,Support,Ahn Hyejin,4,Cube,False
KDR-001511,P558224,Jang Yoon-seo,Support,Yoon Jiwon,2,Jellyfish,False
KDR-001511,P320282,Cho Seo-jun,Support,Song Jisoo,4,Cube,True
KDR-001511,P766360,Kang Hye-jin,Guest,Han Minho,8,Jellyfish,False
KDR-001511,P395544,Cho Yoon-seo,Support,Han Hyejin,3,BH Ent.,True
KDR-001511,P486690,Jung Hyun-woo,Support,Choi Minho,5,Jellyfish,True
KDR-000825,P165209,Choi Ji-eun,Guest,Lee Harin,10,YG,False
KDR-000825,P193570,Jung Hyun-woo,Guest,Choi Eunwoo,9,BH Ent.,False
KDR-000825,P692669,Kang Seo-yeon,Cameo,Han Hyejin,9,C-JeS,False
KDR-000825,P649309,Kim Seo-yeon,Support,Choi Eunwoo,10,Cube,False
KDR-000825,P355862,Lee Ji-hoon,Support,Yoon Joon,13,P Nation,False
KDR-000825,P652894,Kim Hye-jin,Lead,Lee Taeyang,13,SM,False
KDR-000825,P258837,Jung Seo-yeon,Cameo,Jung Hana,12,SM,False
KDR-000825,P151249,Lee Yoon-seo,Guest,Yoon Hana,4,YG,False
KDR-000299,P643829,Kang Seo-yeon,Support,Choi Harin,10,BH Ent.,True
KDR-000299,P944028,Yoon Hye-jin,Cameo,Song Taeyang,10,Jellyfish,False
KDR-000299,P406100,Cho Seo-jun,Guest,Ahn Hyejin,9,C-JeS,False
KDR-000299,P350501,Jung Seo-jun,Guest,Kang Taeyang,7,C-JeS,True
KDR-000299,P666015,Im Min-jae,Support,Han Taeyang,6,P Nation,True
KDR-000299,P232849,Cho Hyun-woo,Support,Jung Jiwon,4,YG,True
KDR-000299,P455042,Cho Hyun-woo,Guest,Ahn Hana,4,SM,True
KDR-000299,P842036,Yoon Min-jae,Guest,Yoon Seojin,5,SOOP,False
KDR-001553,P565050,Im Seo-jun,Support,Han Jisoo,4,SM,False
KDR-001553,P334964,Im Hye-jin,Support,Kim Hyejin,4,YG,False
KDR-001553,P434557,Im Ji-eun,Support,Han Joon,4,SM,False
KDR-001553,P959251,Choi Seo-yeon,Cameo,Park Hyejin,4,SOOP,False
KDR-001553,P952662,Lee Yoon-seo,Support,Lee Jisoo,9,YG,False
KDR-000423,P497684,Choi Seo-jun,Support,Lee Hyejin,12,SM,False
KDR-000423,P407059,Yoon Ji-hoon,Support,Jung Seojin,7,JYP,False
KDR-000423,P187201,Lee Min-jae,Lead,Lee Seojin,7,Cube,False
KDR-000423,P149270,Yoon Seo-yeon,Support,Park Eunwoo,7,YG,True
KDR-000423,P564198,Lee Min-jae,Support,Park Harin,9,BH Ent.,True
KDR-000423,P767884,Jang Seo-yeon,Support,Kim Seojin,9,Jellyfish,False
KDR-000423,P260970,Yoon Hye-jin,Guest,Yoon Minho,5,Jellyfish,True
KDR-001281,P182304,Cho Hyun-woo,Lead,Han Jisoo,4,JYP,False
KDR-001281,P939817,Lee Ji-eun,Guest,Choi Taeyang,12,JYP,False
KDR-001281,P796806,Jang Ji-hoon,Lead,Kang Eunwoo,7,SOOP,False
KDR-001281,P947443,Yoon Hyun-woo,Support,Lee Hyejin,9,C-JeS,False
KDR-001281,P589432,Park Hye-jin,Cameo,Choi Hyejin,3,KeyEast,False
KDR-001281,P275317,Jang Ji-eun,Guest,Ahn Taeyang,10,JYP,False
KDR-001522,P498217,Kang Ji-eun,Cameo,Park Minho,8,Jellyfish,False
KDR-001522,P914392,Park Hye-jin,Cameo,Choi Seojin,7,Jellyfish,False
KDR-001522,P693779,Jang Hye-jin,Cameo,Lee Minho,5,SOOP,False
KDR-001522,P266652,Choi Ji-eun,Support,Kim Seojin,5,C-JeS,False
KDR-001522,P592195,Lee Seo-jun,Lead,Choi Taeyang,1,Jellyfish,False
KDR-001522,P445959,Yoon Hye-jin,Lead,Kang Hana,5,SM,False
KDR-001522,P467483,Kang Yoon-seo,Cameo,Song Hyejin,5,YG,False
KDR-001522,P566914,Jang Yoon-seo,Lead,Han Hana,4,YG,False
KDR-001858,P683018,Im Hye-jin,Lead,Ahn Harin,9,C-JeS,False
KDR-001858,P482565,Im Hyun-woo,Support,Ahn Taeyang,11,SM,False
KDR-001858,P615824,Yoon Ji-hoon,Support,Song Hyejin,3,BH Ent.,False
KDR-001858,P819386,Lee Ji-hoon,Cameo,Choi Seojin,3,Jellyfish,False
KDR-001858,P141877,Jung Min-jae,Support,Lee Harin,7,Jellyfish,False
