series_id,title,release_year,status,platform,ott_availability,weekday_slot,time_slot_kr,episodes,avg_episode_length_min,total_runtime_min,genres,ip_source,director,writer,lead_actor,lead_actress,start_date,end_date,imdb_rating,mydramalist_rating,synopsis,ingestion_ts,last_updated_ts
KDR-000813,Busan Echo,2023,Completed,JTBC,Viki,Mon-Tue,22:00,10,70,700,Comedy,Webtoon,Park Yoon-seo,Kang Yoon-seo,Kang Ji-eun,Park Seo-jun,2023-05-15,2023-06-26,7.1,7.5,"Busan Echo: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001451,Misty Promise,2025,Ongoing,tvN,Netflix,Fri-Sat,21:30,16,55,880,Action;Medical,Based on Novel,Kim Seo-jun,Choi Seo-yeon,Kim Hyun-woo,Kim Seo-jun,2025-01-20,2025-03-24,6.6,8.0,"Misty Promise: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000652,The Golden Night,2025,Ongoing,Disney+,Apple TV+;Viki,Fri-Sat,21:00,12,55,660,Action;Fantasy,Based on Novel,Choi Seo-yeon,Kang Hyun-woo,Choi Min-jae,Choi Ji-hoon,2025-03-10,2025-04-28,8.0,8.3,"The Golden Night: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000562,Shadow of Gyeonggi,2020,Completed,Prime Video,Disney+;TVING;Viki,Mon-Tue,21:00,12,55,660,Action;Comedy;Medical,Web Novel,Lee Min-jae,Kim Hyun-woo,Kim Hyun-woo,Kang Ji-hoon,2020-11-03,2020-12-22,7.5,8.0,"Shadow of Gyeonggi: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001474,Memory of Busan,2021,Completed,Prime Video,TVING,Mon-Tue,22:00,10,55,550,Comedy;Thriller,Based on Novel,Kang Hye-jin,Lee Seo-jun,Kim Seo-jun,Choi Yoon-seo,2021-01-13,2021-02-24,6.4,8.1,"Memory of Busan: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000711,Garden of Daegu,2020,Completed,tvN,Apple TV+,Fri-Sat,21:00,16,55,880,Comedy;Fantasy;Romance,Based on Novel,Park Hye-jin,Park Hye-jin,Kang Ji-eun,Kim Yoon-seo,2020-06-15,2020-08-17,7.9,8.3,"Garden of Daegu: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001506,Daegu Echo,2024,Completed,JTBC,Prime Video,Fri-Sat,22:00,12,60,720,Legal;Romance,Webtoon,Choi Yoon-seo,Kang Ji-hoon,Park Seo-yeon,Choi Seo-jun,2024-10-09,2024-11-27,8.4,8.3,"Daegu Echo: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000125,Shadow of Gyeonggi,2021,Completed,Netflix,Netflix;Prime Video;Viki,Fri-Sat,22:00,12,60,720,Action;Mystery;Thriller,Based on Novel,Jung Seo-jun,Kim Hye-jin,Jung Yoon-seo,Jung Seo-yeon,2021-10-01,2021-11-19,7.5,7.6,"Shadow of Gyeonggi: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001771,Memory of Gyeonggi,2025,Ongoing,KBS2,Disney+,Fri-Sat,21:30,16,60,960,Fantasy;Mystery,Web Novel,Choi Min-jae,Kim Ji-eun,Kang Hyun-woo,Kim Hyun-woo,2025-06-04,2025-08-06,7.8,8.6,"Memory of Gyeonggi: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000463,Incheon Memory,2023,Completed,JTBC,Prime Video;Viki,Fri-Sat,22:00,16,60,960,Action;Legal,Remake (JP),Kang Seo-jun,Park Min-jae,Park Ji-eun,Choi Ji-eun,2023-12-31,2024-03-03,7.2,7.9,"Incheon Memory: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001894,The Golden City,2019,Completed,Prime Video,Disney+;Prime Video,Sat-Sun,22:00,10,70,700,Fantasy;Mystery;Thriller,Webtoon,Lee Seo-yeon,Choi Seo-yeon,Kang Ji-eun,Kim Ji-eun,2019-02-13,2019-03-27,7.1,8.2,"The Golden City: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001118,Gyeonggi Night,2019,Completed,Disney+,Prime Video,Fri-Sat,21:30,16,70,1120,Fantasy;Romance;Thriller,Remake (JP),Kim Hye-jin,Lee Hyun-woo,Park Seo-jun,Jung Seo-yeon,2019-01-20,2019-03-24,7.9,7.8,"Gyeonggi Night: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000999,Lonely City,2025,Ongoing,tvN,Disney+,Fri-Sat,22:00,12,55,660,Mystery,Web Novel,Park Ji-eun,Kang Seo-yeon,Lee Yoon-seo,Park Seo-yeon,2025-05-09,2025-06-27,8.8,8.3,"Lonely City: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000793,Echo of Daegu,2023,Completed,Netflix,Prime Video,Fri-Sat,21:00,12,70,840,Legal;Mystery,Remake (JP),Choi Yoon-seo,Kang Yoon-seo,Lee Hyun-woo,Kim Hyun-woo,2023-12-08,2024-01-26,9.8,8.3,"Echo of Daegu: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001777,Garden of Jeju,2025,Ongoing,tvN,Apple TV+,Fri-Sat,22:00,12,70,840,Action;Legal;Medical,Based on Novel,Kim Ji-hoon,Kang Hyun-woo,Kang Hyun-woo,Choi Hye-jin,2025-08-31,2025-10-19,7.5,8.5,"Garden of Jeju: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001877,Season of Jeju,2017,Completed,Netflix,Apple TV+;Netflix,Mon-Tue,22:00,16,55,880,Romance,Remake (JP),Jung Hyun-woo,Choi Seo-jun,Kim Seo-yeon,Choi Yoon-seo,2017-09-24,2017-11-26,8.7,8.8,"Season of Jeju: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001657,Daegu Dream,2024,Completed,Prime Video,Apple TV+;Disney+;TVING,Wed-Thu,22:00,16,55,880,Legal;Romance,Webtoon,Kang Seo-jun,Choi Seo-yeon,Jung Ji-eun,Lee Min-jae,2024-05-21,2024-07-23,7.4,8.3,"Daegu Dream: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000539,Gyeonggi Memory,2018,Completed,KBS2,Disney+;Prime Video;Viki,Fri-Sat,22:00,10,55,550,Legal;Medical;Romance,Remake (JP),Kim Min-jae,Kang Seo-jun,Kim Seo-jun,Kang Yoon-seo,2018-11-12,2018-12-24,6.2,8.5,"Gyeonggi Memory: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000544,Incheon Dream,2024,Completed,tvN,Disney+;Viki,Fri-Sat,21:00,16,70,1120,Comedy,Based on Novel,Lee Seo-jun,Kang Ji-hoon,Jung Min-jae,Lee Ji-hoon,2024-06-04,2024-08-06,7.4,7.6,"Incheon Dream: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001125,Misty Night,2016,Completed,Disney+,Apple TV+,Mon-Tue,21:30,10,70,700,Fantasy;Legal,Web Novel,Jung Yoon-seo,Kang Seo-yeon,Kang Hye-jin,Kang Ji-eun,2016-11-05,2016-12-17,8.0,7.6,"Misty Night: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001786,Daegu Memory,2015,Completed,MBC,Apple TV+;Prime Video;Viki,Wed-Thu,21:00,10,60,600,Comedy,Remake (JP),Kim Hye-jin,Kim Min-jae,Kim Ji-hoon,Kang Hyun-woo,2015-08-13,2015-09-24,7.5,8.2,"Daegu Memory: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001968,Love of Gyeonggi,2019,Completed,tvN,Apple TV+;Netflix,Sat-Sun,21:30,16,55,880,Comedy;Fantasy;Legal,Web Novel,Jung Hye-jin,Choi Yoon-seo,Kang Ji-eun,Kim Min-jae,2019-09-30,2019-12-02,7.8,8.1,"Love of Gyeonggi: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000030,The Radiant Shadow,2023,Completed,Netflix,Disney+;TVING,Sat-Sun,22:00,10,60,600,Comedy;Legal;Romance,Web Novel,Kang Min-jae,Kim Hyun-woo,Jung Ji-eun,Jung Hyun-woo,2023-09-05,2023-10-17,7.5,8.7,"The Radiant Shadow: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001068,The Velvet Promise,2021,Completed,Netflix,Disney+,Mon-Tue,22:00,12,55,660,Action,Based on Novel,Jung Seo-jun,Lee Ji-eun,Jung Ji-hoon,Lee Yoon-seo,2021-02-20,2021-04-10,6.7,8.3,"The Velvet Promise: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001448,Hidden Season,2022,Completed,MBC,Disney+;Netflix;Viki,Mon-Tue,22:00,10,55,550,Action;Medical,Web Novel,Lee Min-jae,Jung Ji-eun,Lee Seo-yeon,Lee Min-jae,2022-01-08,2022-02-19,8.6,8.5,"Hidden Season: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000808,Incheon Promise,2021,Completed,Netflix,Apple TV+;Prime Video,Fri-Sat,21:30,12,60,720,Mystery,Webtoon,Jung Seo-jun,Jung Seo-yeon,Jung Seo-yeon,Park Ji-hoon,2021-06-20,2021-08-08,7.1,7.3,"Incheon Promise: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001320,The Misty Shadow,2017,Completed,tvN,Apple TV+,Mon-Tue,22:00,12,55,660,Fantasy;Thriller,Original,Choi Hye-jin,Lee Hye-jin,Lee Hyun-woo,Lee Hyun-woo,2017-08-05,2017-09-23,7.7,8.9,"The Misty Shadow: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000057,Velvet Love,2023,Completed,Prime Video,TVING,Wed-Thu,21:00,10,60,600,Medical;Romance;Thriller,Remake (JP),Kang Yoon-seo,Kang Ji-hoon,Park Seo-yeon,Kang Yoon-seo,2023-04-29,2023-06-10,8.2,8.4,"Velvet Love: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000520,Night of Gyeonggi,2015,Completed,JTBC,Apple TV+;Prime Video,Fri-Sat,22:00,12,55,660,Comedy;Legal;Thriller,Web Novel,Jung Ji-eun,Park Seo-jun,Choi Yoon-seo,Lee Ji-eun,2015-09-22,2015-11-10,8.1,7.9,"Night of Gyeonggi: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000938,Gyeonggi Garden,2025,Ongoing,Prime Video,Disney+,Mon-Tue,21:30,10,55,550,Action;Comedy;Fantasy,Original,Kang Ji-hoon,Jung Seo-yeon,Park Hye-jin,Choi Seo-yeon,2025-11-19,2025-12-31,7.2,8.0,"Gyeonggi Garden: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001365,Promise of Jeju,2025,Ongoing,KBS2,Apple TV+;Netflix;TVING,Fri-Sat,22:00,10,60,600,Action;Fantasy,Remake (JP),Choi Hye-jin,Kim Ji-eun,Kang Min-jae,Jung Ji-eun,2025-02-19,2025-04-02,8.0,7.7,"Promise of Jeju: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000252,Seoul Promise,2016,Completed,SBS,Disney+,Fri-Sat,22:00,12,70,840,Fantasy;Medical;Mystery,Original,Jung Hyun-woo,Park Hyun-woo,Choi Hye-jin,Lee Hye-jin,2016-10-13,2016-12-01,7.9,8.1,"Seoul Promise: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000100,Promise of Daegu,2024,Completed,JTBC,Apple TV+;Disney+;Prime Video,Wed-Thu,22:00,12,55,660,Action;Fantasy;Mystery,Based on Novel,Park Ji-eun,Choi Yoon-seo,Kim Hyun-woo,Park Hyun-woo,2024-10-07,2024-11-25,8.2,8.3,"Promise of Daegu: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001511,Daegu Night,2015,Completed,SBS,Disney+;Prime Video;Viki,Mon-Tue,21:00,10,55,550,Action;Comedy;Medical,Remake (JP),Park Ji-hoon,Kim Seo-jun,Jung Hye-jin,Park Hyun-woo,2015-12-29,2016-02-09,8.0,8.8,"Daegu Night: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000825,Silent Dream,2021,Completed,Netflix,Disney+;Netflix,Wed-Thu,22:00,16,70,1120,Action;Comedy;Fantasy,Based on Novel,Jung Seo-jun,Lee Hyun-woo,Lee Hye-jin,Jung Ji-hoon,2021-09-05,2021-11-07,7.2,8.4,"Silent Dream: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000299,Love of Daegu,2017,Completed,tvN,Apple TV+;Prime Video,Wed-Thu,21:30,10,60,600,Action;Fantasy;Legal,Web Novel,Kang Seo-jun,Kim Hyun-woo,Park Seo-yeon,Lee Seo-yeon,2017-07-30,2017-09-10,7.9,8.3,"Love of Daegu: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001553,Season of Busan,2015,Completed,Disney+,Apple TV+;Netflix;Prime Video,Fri-Sat,21:00,10,55,550,Fantasy,Original,Kim Hye-jin,Lee Hyun-woo,Kim Hye-jin,Lee Seo-yeon,2015-07-13,2015-08-24,6.9,8.6,"Season of Busan: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000423,Silent Shadow,2020,Completed,SBS,Prime Video;TVING;Viki,Mon-Tue,22:00,12,55,660,Legal;Medical;Thriller,Original,Park Seo-jun,Park Hye-jin,Kim Ji-hoon,Kang Hyun-woo,2020-10-23,2020-12-11,7.6,8.8,"Silent Shadow: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001281,Shadow of Daegu,2022,Completed,MBC,Disney+,Fri-Sat,21:30,12,70,840,Action;Romance,Web Novel,Jung Hyun-woo,Choi Seo-jun,Lee Ji-hoon,Choi Seo-jun,2022-11-17,2023-01-05,7.7,7.1,"Shadow of Daegu: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001522,Lonely Dream,2024,Completed,Prime Video,Apple TV+;TVING;Viki,Mon-Tue,21:30,12,70,840,Comedy;Mystery,Webtoon,Park Seo-jun,Jung Ji-hoon,Jung Min-jae,Jung Yoon-seo,2024-03-30,2024-05-18,6.6,8.1,"Lonely Dream: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001858,The Silent Garden,2023,Completed,JTBC,Netflix;Prime Video,Wed-Thu,22:00,12,60,720,Fantasy;Mystery;Thriller,Web Novel,Park Yoon-seo,Kang Seo-yeon,Choi Hye-jin,Jung Seo-yeon,2023-07-13,2023-08-31,7.3,8.6,"The Silent Garden: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000765,The Hidden Shadow,2022,Completed,SBS,Apple TV+;Disney+;Viki,Wed-Thu,21:00,12,60,720,Medical,Remake (JP),Choi Min-jae,Kim Ji-hoon,Park Yoon-seo,Jung Seo-yeon,2022-01-11,2022-03-01,7.7,8.0,"The Hidden Shadow: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001541,The Electric Garden,2016,Completed,Netflix,Apple TV+;Viki,Mon-Tue,22:00,10,70,700,Thriller,Web Novel,Kim Hyun-woo,Park Seo-jun,Lee Ji-eun,Jung Hye-jin,2016-01-14,2016-02-25,8.1,8.1,"The Electric Garden: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000496,Hidden Echo,2018,Completed,SBS,Disney+;TVING,Mon-Tue,21:30,16,60,960,Legal;Mystery;Romance,Web Novel,Choi Hye-jin,Kim Min-jae,Kang Hyun-woo,Lee Seo-jun,2018-09-13,2018-11-15,7.5,8.0,"Hidden Echo: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001287,The Misty Echo,2020,Completed,MBC,Netflix,Wed-Thu,22:00,10,70,700,Mystery,Based on Novel,Choi Hye-jin,Choi Ji-eun,Jung Hye-jin,Kim Hye-jin,2020-10-14,2020-11-25,7.3,8.3,"The Misty Echo: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000987,Incheon Echo,2021,Completed,SBS,Apple TV+;Viki,Mon-Tue,22:00,16,55,880,Comedy;Legal;Thriller,Webtoon,Kang Seo-jun,Jung Ji-eun,Jung Hyun-woo,Lee Min-jae,2021-02-03,2021-04-07,8.1,8.6,"Incheon Echo: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000071,The Electric Memory,2023,Completed,KBS2,Disney+;Prime Video;TVING,Sat-Sun,21:00,16,60,960,Mystery,Webtoon,Park Ji-eun,Choi Seo-yeon,Jung Seo-jun,Kang Hye-jin,2023-07-03,2023-09-04,7.2,8.4,"The Electric Memory: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000276,Busan Love,2022,Completed,Disney+,Disney+,Sat-Sun,21:30,16,70,1120,Romance,Remake (JP),Kang Ji-eun,Park Hyun-woo,Lee Ji-eun,Choi Yoon-seo,2022-05-23,2022-07-25,8.1,7.8,"Busan Love: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001795,Shadow of Jeju,2020,Completed,SBS,Prime Video;TVING,Mon-Tue,21:30,12,55,660,Action,Web Novel,Jung Seo-yeon,Lee Hyun-woo,Choi Yoon-seo,Kim Seo-yeon,2020-06-13,2020-08-01,7.0,8.2,"Shadow of Jeju: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001948,The Hidden Love,2021,Completed,SBS,Prime Video;TVING,Fri-Sat,22:00,12,70,840,Romance,Webtoon,Lee Yoon-seo,Jung Ji-hoon,Choi Hyun-woo,Choi Ji-hoon,2021-03-30,2021-05-18,8.5,7.8,"The Hidden Love: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000066,Hidden Dream,2018,Completed,Disney+,Netflix;TVING,Sat-Sun,22:00,10,70,700,Medical;Romance,Remake (JP),Lee Yoon-seo,Jung Seo-yeon,Kim Hyun-woo,Choi Seo-yeon,2018-11-20,2019-01-01,7.2,8.1,"Hidden Dream: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000586,Promise of Busan,2021,Completed,JTBC,Apple TV+;Disney+;TVING,Sat-Sun,22:00,10,70,700,Comedy;Fantasy;Medical,Based on Novel,Kang Hyun-woo,Kang Hye-jin,Kim Min-jae,Jung Yoon-seo,2021-07-06,2021-08-17,8.3,7.0,"Promise of Busan: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001108,Seoul Season,2021,Completed,Netflix,Apple TV+;Netflix,Mon-Tue,21:30,16,55,880,Comedy;Mystery,Based on Novel,Lee Ji-hoon,Kang Seo-yeon,Lee Seo-yeon,Park Ji-eun,2021-05-10,2021-07-12,7.5,9.1,"Seoul Season: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001248,Velvet Dream,2017,Completed,Netflix,Apple TV+;Netflix;TVING,Mon-Tue,22:00,10,70,700,Comedy;Fantasy,Remake (JP),Lee Hyun-woo,Jung Ji-hoon,Kang Ji-hoon,Lee Yoon-seo,2017-04-27,2017-06-08,7.8,8.2,"Velvet Dream: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001230,Shadow of Seoul,2019,Completed,Prime Video,Apple TV+,Mon-Tue,21:00,16,70,1120,Comedy;Legal;Medical,Original,Park Min-jae,Park Ji-hoon,Jung Hye-jin,Park Min-jae,2019-01-08,2019-03-12,6.5,8.5,"Shadow of Seoul: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000395,Shadow of Gyeonggi,2016,Completed,Prime Video,Netflix;TVING;Viki,Fri-Sat,21:30,10,55,550,Fantasy;Medical,Web Novel,Kim Yoon-seo,Park Ji-hoon,Kang Seo-jun,Kang Ji-eun,2016-04-28,2016-06-09,7.3,8.4,"Shadow of Gyeonggi: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001502,The Velvet Season,2015,Completed,Disney+,Apple TV+;TVING,Wed-Thu,21:00,16,55,880,Comedy,Web Novel,Lee Yoon-seo,Jung Seo-jun,Lee Yoon-seo,Kang Ji-hoon,2015-09-14,2015-11-16,7.6,7.7,"The Velvet Season: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001493,Jeju Shadow,2016,Completed,tvN,Viki,Wed-Thu,21:30,16,70,1120,Action;Comedy;Legal,Webtoon,Choi Min-jae,Lee Ji-hoon,Park Ji-eun,Jung Seo-yeon,2016-03-12,2016-05-14,8.4,8.3,"Jeju Shadow: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000112,The Golden City,2020,Completed,MBC,Apple TV+;Viki,Sat-Sun,21:30,10,55,550,Action;Fantasy,Based on Novel,Choi Seo-yeon,Kang Hyun-woo,Park Ji-eun,Jung Hyun-woo,2020-07-07,2020-08-18,7.5,8.1,"The Golden City: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000353,Gyeonggi Echo,2020,Completed,SBS,Apple TV+;Disney+;Netflix,Wed-Thu,21:00,16,60,960,Legal,Webtoon,Choi Hyun-woo,Kang Seo-jun,Choi Seo-yeon,Choi Yoon-seo,2020-08-13,2020-10-15,8.2,8.4,"Gyeonggi Echo: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-001134,Radiant Memory,2016,Completed,MBC,Netflix;TVING,Fri-Sat,21:00,10,55,550,Action,Based on Novel,Jung Yoon-seo,Jung Seo-jun,Park Hyun-woo,Park Hyun-woo,2016-08-24,2016-10-05,6.9,8.5,"Radiant Memory: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
KDR-000858,The Golden City,2023,Completed,Disney+,Netflix;Prime Video;Viki,Mon-Tue,21:30,12,55,660,Medical,Web Novel,Kang Ji-eun,Kang Ji-eun,Lee Seo-yeon,Park Hye-jin,2023-07-25,2023-09-12,7.8,7.6,"The Golden City: secrets, lies, and late-night ramen.",2025-09-04T14:46:28Z,2025-09-04T14:46:28Z
